time,open,high,low,close,tick_volume,spread,real_volume
2025-11-07 17:00:00,101091.55,102661.81,100862.04,102320.45,8327,1800,0
2025-11-07 18:00:00,102318.03,102795.9,102225.84,102541.97,7894,1800,0
2025-11-07 19:00:00,102542.35,103347.33,102414.93,103347.33,5989,1800,0
2025-11-07 20:00:00,103345.37,103861.81,102892.98,103736.78,5827,1800,0
2025-11-07 21:00:00,103737.14,103840.02,103291.19,103839.39,2978,1800,0
2025-11-07 22:00:00,103839.88,104054.55,103540.43,103574.94,2583,1800,0
2025-11-07 23:00:00,103580.36,103726.13,103260.85,103283.51,2201,1800,0
2025-11-08 00:00:00,103283.19,103339.02,102463.64,102637.64,3848,1800,0
2025-11-08 01:00:00,102640.17,103163.36,102582.3,102927.15,3121,1800,0
2025-11-08 02:00:00,102927.63,103280.38,102697.37,102797.97,2720,1800,0
2025-11-08 03:00:00,102791.46,103242.39,102523.21,102524.81,2809,1800,0
2025-11-08 04:00:00,102524.18,102780.65,102325.56,102502.84,3080,1800,0
2025-11-08 05:00:00,102501.89,102674.79,102217.53,102245.91,2454,1800,0
2025-11-08 06:00:00,102246.6,102465.27,102031.13,102167.19,2921,1800,0
2025-11-08 07:00:00,102169.36,102348.51,101852.22,102287.06,2527,1800,0
2025-11-08 08:00:00,102287.21,102636.76,102107.17,102381.49,2368,1800,0
2025-11-08 09:00:00,102383.58,102553.04,102166.85,102342.54,1839,1800,0
2025-11-08 10:00:00,102342.35,102521.86,102242.85,102420.58,1639,1800,0
2025-11-08 11:00:00,102420.18,102592.45,101656.76,101807.12,2928,1800,0
2025-11-08 12:00:00,101798.94,102059.38,101680.03,102003.65,2735,1800,0
2025-11-08 13:00:00,102006.31,102149.21,101655.98,101764.39,2884,1800,0
2025-11-08 14:00:00,101760.68,102052.83,101407.72,101792.36,3666,1800,0
2025-11-08 15:00:00,101789.3,101921.5,101451.3,101686.88,2670,1800,0
2025-11-08 16:00:00,101685.67,101922.75,101484.04,101815.59,3061,1800,0
2025-11-08 17:00:00,101815.69,101991.59,101545.31,101959.1,2211,1800,0
2025-11-08 18:00:00,101960.3,102194.37,101802.68,102101.08,1969,1800,0
2025-11-08 19:00:00,102100.07,102154.06,101494.12,101948.17,2051,1800,0
2025-11-08 20:00:00,101948.26,102132.76,101915.72,102039.18,1515,1800,0
2025-11-08 21:00:00,102035.83,102345.86,101991.49,102240.11,1603,1800,0
2025-11-08 22:00:00,102240.0,102390.73,102137.94,102334.79,1302,1800,0
2025-11-08 23:00:00,102334.1,102453.95,102249.25,102282.32,1471,1800,0
2025-11-09 00:00:00,102282.85,102311.06,101598.3,101760.3,2431,1800,0
2025-11-09 01:00:00,101759.41,102073.45,101651.24,102011.27,2116,1800,0
2025-11-09 02:00:00,102011.47,102011.47,101539.07,101605.68,2064,1800,0
2025-11-09 03:00:00,101608.28,101780.7,101319.2,101634.93,2704,1800,0
2025-11-09 04:00:00,101635.87,102102.82,101607.43,101701.55,2020,1800,0
2025-11-09 05:00:00,101701.61,101996.38,101647.67,101894.87,1950,1800,0
2025-11-09 06:00:00,101901.7,101939.9,101673.81,101721.8,1588,1800,0
2025-11-09 07:00:00,101721.73,101956.77,101636.42,101919.76,1861,1800,0
2025-11-09 08:00:00,101918.11,102031.47,101793.82,101959.59,1758,1800,0
2025-11-09 09:00:00,101966.95,102107.25,101607.76,101642.39,2182,1800,0
2025-11-09 10:00:00,101642.28,101899.74,101487.81,101847.37,2388,1800,0
2025-11-09 11:00:00,101847.49,102294.53,101847.49,102224.3,2703,1800,0
2025-11-09 12:00:00,102233.37,102407.9,102029.01,102064.96,2353,1800,0
2025-11-09 13:00:00,102069.62,102969.2,102048.12,102887.02,3483,1800,0
2025-11-09 14:00:00,102886.98,104025.37,102734.89,103020.3,6961,1800,0
2025-11-09 15:00:00,103017.52,104202.86,102941.01,103733.14,4400,1800,0
2025-11-09 16:00:00,103732.08,103889.64,103297.98,103823.09,3442,1800,0
2025-11-09 17:00:00,103822.99,103947.4,103314.15,103613.77,2739,1800,0
2025-11-09 18:00:00,103613.64,104580.43,103487.23,104489.49,2961,1800,0
2025-11-09 19:00:00,104481.82,104795.46,104118.8,104792.65,3969,1800,0
2025-11-09 20:00:00,104790.96,105057.87,104378.6,104607.64,3360,1800,0
2025-11-09 21:00:00,104609.77,104824.33,104275.82,104508.34,2591,1800,0
2025-11-09 22:00:00,104504.92,104802.93,104047.7,104697.1,3255,1800,0
2025-11-09 23:00:00,104701.59,105455.82,104503.99,104689.19,5234,1800,0
2025-11-10 00:00:00,104686.19,106500.77,104225.62,106283.41,7496,1800,0
2025-11-10 01:00:00,106282.69,106666.46,105694.78,105703.84,6171,1800,0
2025-11-10 02:00:00,105703.72,106039.2,105574.76,105985.22,3746,1800,0
2025-11-10 03:00:00,105981.72,106267.33,105822.84,106012.06,3877,1800,0
2025-11-10 04:00:00,106019.27,106292.42,105815.27,106135.83,2783,1800,0
2025-11-10 05:00:00,106138.78,106457.26,105978.2,106084.5,3055,1800,0
2025-11-10 06:00:00,106084.25,106295.08,105928.01,106193.76,2486,1800,0
2025-11-10 07:00:00,106193.09,106526.62,106119.43,106436.51,2432,1800,0
2025-11-10 08:00:00,106436.39,106546.64,105876.51,105956.8,2753,1800,0
2025-11-10 09:00:00,105956.63,106600.81,105796.83,106434.72,3282,1800,0
2025-11-10 10:00:00,106435.51,106448.61,105940.48,105972.3,2064,1800,0
2025-11-10 11:00:00,105975.18,106310.58,105923.72,106162.32,2057,1800,0
2025-11-10 12:00:00,106159.75,106201.72,105855.38,105926.16,2837,1800,0
2025-11-10 13:00:00,105928.25,106585.87,105887.55,106521.27,3710,1800,0
2025-11-10 14:00:00,106518.98,106518.98,104638.35,104863.97,6769,1800,0
2025-11-10 15:00:00,104861.49,105604.71,104639.71,105054.18,7802,1800,0
2025-11-10 16:00:00,105053.7,105337.57,104753.51,105197.82,6088,1800,0
2025-11-10 17:00:00,105195.41,105952.85,105138.84,105915.2,3650,1800,0
2025-11-10 18:00:00,105920.69,106066.68,105432.15,105452.44,3244,1800,0
2025-11-10 19:00:00,105448.8,106025.6,105362.39,105797.88,3471,1800,0
2025-11-10 20:00:00,105796.69,106265.87,105783.0,105977.29,3499,1800,0
2025-11-10 21:00:00,105980.28,105995.91,105217.23,105598.7,3267,1800,0
2025-11-10 22:00:00,105597.82,106103.28,105331.7,106019.09,2306,1800,0
2025-11-10 23:00:00,106023.59,106246.36,105845.48,105976.68,2983,1800,0
2025-11-11 00:00:00,105978.78,106123.15,105458.07,106104.45,3691,1800,0
2025-11-11 01:00:00,106106.12,107474.23,105990.04,106068.82,7469,1800,0
2025-11-11 02:00:00,106069.29,107111.45,105567.76,106611.45,6348,1800,0
2025-11-11 03:00:00,106615.9,107052.54,106324.13,106427.86,3921,1800,0
2025-11-11 04:00:00,106432.15,106520.81,105665.23,105728.3,3221,1800,0
2025-11-11 05:00:00,105728.49,105728.49,105118.25,105231.57,3714,1800,0
2025-11-11 06:00:00,105230.32,105322.23,104852.25,105222.44,3161,1800,0
2025-11-11 07:00:00,105224.72,105305.75,104709.93,104760.95,3236,1800,0
2025-11-11 08:00:00,104762.19,105236.97,104736.01,105124.5,3133,1800,0
2025-11-11 09:00:00,105134.36,105475.87,104887.5,104955.69,2795,1800,0
2025-11-11 10:00:00,104952.13,105224.71,104903.44,105148.92,2560,1800,0
2025-11-11 11:00:00,105143.12,105494.36,105121.93,105286.77,2486,1800,0
2025-11-11 12:00:00,105288.75,105487.26,104379.58,104529.34,4009,1800,0
2025-11-11 13:00:00,104523.41,104694.73,104185.0,104383.11,4601,1800,0
2025-11-11 14:00:00,104388.26,104663.9,103827.57,104546.95,5989,1800,0
2025-11-11 15:00:00,104546.17,104546.17,103150.55,103437.0,7338,1800,0
2025-11-11 16:00:00,103455.93,103710.38,103183.29,103387.79,5232,1800,0
2025-11-11 17:00:00,103396.32,103614.83,102791.77,103299.12,4835,1800,0
2025-11-11 18:00:00,103297.09,103537.6,103037.66,103368.93,3966,1800,0
2025-11-11 19:00:00,103368.53,103433.22,102815.2,103102.45,3602,1800,0
2025-11-11 20:00:00,103102.57,103195.6,102625.92,102772.55,4451,1800,0
